City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,vorgashor,67.5833,63.95,266.42,93,67,6.47,RU,1682639885
283,laojunmiao,39.8333,97.7333,274.06,34,0,2.55,CN,1682640056
284,shalqar,47.8333,59.6,290.89,37,100,2.13,KZ,1682640056
285,ketchikan,55.3422,-131.6461,280.14,98,100,3.29,US,1682640057
286,kolokani,13.5728,-8.0339,300.99,10,4,4.37,ML,1682640057
287,santana,-0.0583,-51.1817,300.25,94,20,2.06,BR,1682640057
288,vallegrande,-18.4897,-64.1069,286.36,99,10,1.3,BO,1682640058
289,siniscola,40.5719,9.6922,285.9,78,77,1.13,IT,1682640058
290,gisborne,-38.6533,178.0042,288.69,69,100,1.17,NZ,1682640058
291,sitka,57.0531,-135.33,280.09,81,100,6.17,US,1682640058
292,toliara,-23.35,43.6667,295.56,76,0,6.45,MG,1682640059
293,sofiyivka,48.0493,33.8746,282.05,90,100,5.25,UA,1682640059
294,hutchinson island south,27.2995,-80.2205,300.98,74,0,6.26,US,1682640059
295,kupang,-10.1667,123.5833,300.47,83,40,4.63,ID,1682640060
296,vilyuysk,63.7553,121.6247,273.78,87,99,1.82,RU,1682640060
297,columbia falls,48.3725,-114.1815,289.89,25,0,2.06,US,1682640021
298,buga,3.9009,-76.2978,298.99,91,69,0.31,CO,1682640060
299,el porvenir,13.7617,-87.3458,302.78,67,94,1.97,HN,1682640061
300,darwin,-12.4611,130.8418,303.09,74,20,3.09,AU,1682640005
301,garrel,52.95,8.0167,279.88,87,100,4.22,DE,1682640061
302,kalemie,-5.9475,29.1947,294.86,86,66,1.1,CD,1682640062
303,bereznik,62.8551,42.7072,272.11,92,100,3.02,RU,1682640062
304,moyynkum,44.2914,72.9469,285.73,35,0,6.77,KZ,1682640062
305,puerto rico,-26.796,-55.024,289.49,82,5,0.13,AR,1682640063
306,cavelossim,15.1726,73.9419,300.14,82,4,1.54,IN,1682640063
307,polyarnyy,69.1989,33.4478,267.81,87,19,4.68,RU,1682640064
308,selfoss,63.9331,-20.9971,273.73,98,100,2.47,IS,1682640066
309,guerrero negro,27.9769,-114.0611,291.13,72,12,8.34,MX,1682640067
310,wailua homesteads,22.0669,-159.378,301.39,65,0,6.17,US,1682639793
311,auch,43.65,0.5833,290.86,78,79,1.79,FR,1682640068
312,cine,37.6117,28.0614,282.34,91,38,1.98,TR,1682640068
313,vallenar,-28.5708,-70.7581,290.78,65,3,0.99,CL,1682640068
314,garbahaarrey,3.3289,42.2209,299.47,75,96,4.77,SO,1682640069
315,karratha,-20.7377,116.8463,300.9,52,99,2.02,AU,1682639894
316,arkhangel'sk,64.5401,40.5433,271.21,79,0,5.0,RU,1682640070
317,mount isa,-20.7333,139.5,300.02,41,46,3.6,AU,1682640071
318,sai kung,22.3822,114.2728,296.94,89,100,0.89,CN,1682640071
319,hutang,31.5333,119.4833,292.15,71,60,2.14,CN,1682640072
320,mahanoro,-19.9,48.8,295.97,81,88,3.5,MG,1682639886
321,karasburg,-28.0167,18.75,287.77,43,3,2.11,,1682640072
322,dubbo,-32.25,148.6167,296.22,49,2,7.72,AU,1682640073
323,barcelos,41.5388,-8.6151,292.55,77,100,1.5,PT,1682639806
324,weno,7.4515,151.8468,299.97,84,100,7.75,FM,1682640074
325,wynyard,-41.0,145.7167,289.25,93,50,7.07,AU,1682640074
326,tofol,5.3248,163.0078,302.03,74,100,2.57,FM,1682640075
327,nuku'alofa,-21.1333,-175.2,299.34,94,100,7.72,TO,1682639782
328,dengzhou,37.8086,120.7508,287.8,71,97,6.29,CN,1682640075
329,kikwit,-5.041,18.8162,295.89,92,78,0.81,CD,1682640076
330,gwadar,25.1216,62.3254,298.95,74,80,1.86,PK,1682640076
331,estevan,49.1334,-102.9842,283.34,50,100,8.23,CA,1682640076
332,ain oussera,35.4514,2.9058,296.01,21,67,3.35,DZ,1682640077
333,valozhyn,54.0909,26.5225,274.53,86,65,2.4,BY,1682640077
334,margate,51.3813,1.3862,283.65,84,100,2.68,GB,1682639673
335,hermanus,-34.4187,19.2345,288.55,83,32,4.61,ZA,1682639906
336,imbituva,-25.23,-50.6044,288.68,79,50,0.74,BR,1682640078
337,kisoro,-1.2854,29.685,286.91,97,99,1.3,UG,1682640079
338,thai binh,20.45,106.3333,298.43,88,61,5.26,VN,1682640079
339,al burayqah,30.4062,19.5739,290.54,64,4,6.15,LY,1682640079
340,flying fish cove,-10.4217,105.6791,300.21,82,99,8.2,CX,1682639889
341,geraldton,-28.7667,114.6,284.38,82,0,4.12,AU,1682639911
342,greenville,35.6127,-77.3663,292.24,93,75,2.06,US,1682639816
343,island harbour,50.724,-1.2758,286.01,96,100,2.68,GB,1682640080
344,al kharijah,25.4514,30.5464,296.52,25,0,2.83,EG,1682640080
345,nuuk,64.1835,-51.7216,274.49,80,8,6.71,GL,1682640080
346,vadso,70.0744,29.7487,273.64,93,55,5.66,NO,1682639829
347,pokhara,28.2333,83.9833,292.44,35,7,3.04,NP,1682640081
348,bodaybo,57.8506,114.1933,275.23,71,56,0.49,RU,1682640082
349,tucumcari,35.1717,-103.725,298.67,14,0,1.54,US,1682640082
350,figuig (centre),32.1089,-1.2286,298.63,15,79,1.06,MA,1682640082
351,sao jose da coroa grande,-8.8978,-35.1478,299.0,85,97,2.32,BR,1682640083
352,zhigalovo,54.8097,105.1578,274.76,72,87,1.11,RU,1682640083
353,lautoka,-17.6167,177.4667,301.07,83,75,2.06,FJ,1682640084
354,angren,41.0167,70.1436,288.47,37,9,2.85,UZ,1682640084
355,nanning,22.8167,108.3167,297.4,88,98,5.21,CN,1682640010
356,egilsstadir,65.2653,-14.3948,271.1,74,75,3.6,IS,1682640085
357,galesong,-5.3166,119.3661,299.16,82,99,3.17,ID,1682640085
358,dudinka,69.4058,86.1778,255.62,100,100,0.94,RU,1682640085
359,akureyri,65.6835,-18.0878,271.11,64,40,2.57,IS,1682640086
360,kutum,14.2,24.6667,296.09,50,82,2.21,SD,1682640086
361,poxoreo,-15.8372,-54.3892,296.29,82,8,0.27,BR,1682640086
